collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0113,UP-MY062851-2,Jendarata Steam & Power Plant,Malaysia,MY,CDM,AMS-I.C. 8.0,developer,United Plantations Bhd,,,,,,,,,,,
C0114,UP-MY062851-2,Jendarata Steam & Power Plant,Malaysia,MY,CDM,AMS-I.C. 8.0,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0115,UP-ID000118-3,Bundled CDM project activity involving replacing fossil fuel fired thermal oil heaters in two glove manufacturing facilities with biomass based heaters.,Indonesia,ID,CDM,AMS-I.C.,developer,PT. Arista Latindo,,,,,,,,,,,
C0116,UP-ID000118-3,Bundled CDM project activity involving replacing fossil fuel fired thermal oil heaters in two glove manufacturing facilities with biomass based heaters.,Indonesia,ID,CDM,AMS-I.C.,verifier (VVB),Det Norske Veritas- CUK,,,,,,,,,,,
C0117,UP-ID000170-8,Power generation using TRT (Top Pressure Recovery Turbine) in PT KRAKATAU POSCO,Indonesia,ID,CDM,ACM0012,developer,PT Krakatau Posco,,,,,,,,,,,
C0118,UP-ID000170-8,Power generation using TRT (Top Pressure Recovery Turbine) in PT KRAKATAU POSCO,Indonesia,ID,CDM,ACM0012,verifier (VVB),RINA Services S.p.A. (RINA),,,,,,,,,,,
C0119,UP-VN001448-2,"Introduction of 0.4MW Rooftop Solar Power System to Aluminum Wheel Manufacturing Factory in Hanoi, Vietnam",Vietnam,VN,JCM,VN_AM007 Ver1.0,developer,"Enkei Vietnam Co., Ltd.",,,,,,,,,,,
C0120,UP-VN001448-2,"Introduction of 0.4MW Rooftop Solar Power System to Aluminum Wheel Manufacturing Factory in Hanoi, Vietnam",Vietnam,VN,JCM,VN_AM007 Ver1.0,verifier (VVB),KBS Certification Services Limited,,,,,,,,,,,
C0121,UP-VN001408-0,BWC Sustainable Small Hydropower Programme of Activities in Viet Nam,Vietnam,VN,CDM,AMS-I.D. ver. 17,developer,"Blue World Vietnam Co., Ltd.",,,,,,,,,,,
C0122,UP-VN001408-0,BWC Sustainable Small Hydropower Programme of Activities in Viet Nam,Vietnam,VN,CDM,AMS-I.D. ver. 17,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),,,,,,,,,,,
C0123,UP-VN001183-1,Nam Gion Hydropower Project,Vietnam,VN,CDM,ACM0002 8.0,developer,Ha Thao Construction Investment and Trading Joint Stock Company,,,,,,,,,,,
C0124,UP-VN001183-1,Nam Gion Hydropower Project,Vietnam,VN,CDM,ACM0002 8.0,verifier (VVB),RWTÜV GmbH,,,,,,,,,,,
C0125,UP-TH966781-3,Saiyok Waste Heat Recovery To Power Plant Project,Thailand,TH,CDM,AMS-III.Q.,developer,PTT Public Company Limited,,,,,,,,,,,
C0126,UP-TH966781-3,Saiyok Waste Heat Recovery To Power Plant Project,Thailand,TH,CDM,AMS-III.Q.,verifier (VVB),TÜV Rheinland (China) Ltd. (TÜV Rheinland),,,,,,,,,,,
