collab_id,project_upid,project_name,country,country_code,registry,methodology,role,org_name_raw,company_name_resolved,company_country,org_type,website,linkedin,contact_name,contact_role,contact_email,confidence,source_url,notes
C0056,UP-TH966719-0,Biomass thermal and electricity generation project for Thai Urethane Plastic,Thailand,TH,CDM,AMS-I.C.; AMS-I.D.,verifier (VVB),TÜV SÜD South Asia Private Limited (TÜV SÜD),TUEV-SUED,,certification body,https://www.tuvsud.com/en-us,https://www.linkedin.com/company/tuev-sued-auto-service,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: nan),Matched via IGES CDM DB (Ref: nan). Validated DOE.
C0057,UP-TH967635-9,Introduction of 1.3MW Solar Power System to Food Factories,Thailand,TH,JCM,TH_AM001 Ver3.0,developer,"Primaham Foods (Thailand) Co., Ltd.",,,,,,,,,,,
C0058,UP-TH967635-9,Introduction of 1.3MW Solar Power System to Food Factories,Thailand,TH,JCM,TH_AM001 Ver3.0,verifier (VVB),Japan Quality Assurance Organization,,,,,,,,,,,
C0059,UP-ID000251-0,"Silau-2 small hydro power plant in North Sumatera Province, Indonesia",Indonesia,ID,CDM,AMS-I.D. 16.0,developer,PT. Bersaudara Simalungun Energi,PT. Bersaudara Simalungun Energi,Indonesia,private company,https://www.eximpedia.app/companies/pt-bersaudara-simalungun-energi/24789288,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 3580.0),Matched via IGES CDM DB (Ref: 3580.0).
C0060,UP-ID000251-0,"Silau-2 small hydro power plant in North Sumatera Province, Indonesia",Indonesia,ID,CDM,AMS-I.D. 16.0,verifier (VVB),Bureau Veritas Certification Holding SAS (BVCH),BVQI,,certification body,https://group.bureauveritas.com/,https://pa.linkedin.com/company/e-ssy,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 3580.0),Matched via IGES CDM DB (Ref: 3580.0). Validated DOE.
C0061,UP-MY062868-3,"Biopower Climate Care POME Biogas Capture and Utilization Project in Palong, Malaysia",Malaysia,MY,CDM,AMS-I.D. 17.0; AMS-III.H. 16.0,developer,Biopower Climate Care Sdn. Bhd.,Biopower Climate Care Sdn. Bhd.,Malaysia,private company,https://cdm.unfccc.int/Projects/DB/DNV-CUK1344338343.65/history,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 6939.0),Matched via IGES CDM DB (Ref: 6939.0).
C0062,UP-MY062868-3,"Biopower Climate Care POME Biogas Capture and Utilization Project in Palong, Malaysia",Malaysia,MY,CDM,AMS-I.D. 17.0; AMS-III.H. 16.0,verifier (VVB),Det Norske Veritas- CUK,DNV,,certification body,https://www.dnv.us/,https://no.linkedin.com/company/dnv,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 6939.0),Matched via IGES CDM DB (Ref: 6939.0). Validated DOE.
C0063,UP-TH966847-5,Thachana Palm Oil Company Wastewater Treatment Project in Thailand,Thailand,TH,CDM,AMS-I.D. 13.0; AMS-III.H. 9.0,developer,"Thachana Palm Oil Co., Ltd.","Thachana Palm Oil Co., Ltd.",Thailand,private company,https://rspo.org/smallholder-rsep/sustainable-palm-oil-production-thachana-chaiya-community-enterprise/,,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 2644.0),Matched via IGES CDM DB (Ref: 2644.0).
C0064,UP-TH966847-5,Thachana Palm Oil Company Wastewater Treatment Project in Thailand,Thailand,TH,CDM,AMS-I.D. 13.0; AMS-III.H. 9.0,verifier (VVB),Japan Quality Assurance Organisation (JQA),JQA,,certification body,https://obamawhitehouse.archives.gov/1600/presidents/johnquincyadams,https://www.linkedin.com/company/the-john-quincy-adams-society,,,,0.95,https://cdm.unfccc.int/Projects/DB/ (Ref: 2644.0),Matched via IGES CDM DB (Ref: 2644.0). Validated DOE.
C0065,UP-ID000340-3,"Biogas Project Florindo, Tanjung Bintang",Indonesia,ID,CDM,AMS-I.F. 2.0; AMS-III.H. 16.0,developer,PT. Florindo Makmur,PT. Florindo Makmur,Indonesia,private company,https://www.seair.co.in/pt-florindo-makmur-importers-in-indonesia,https://id.linkedin.com/company/hmmitera,,,,0.9,https://cdm.unfccc.int/Projects/DB/ (Ref: 8141.0),Matched via IGES CDM DB (Ref: 8141.0).
